ambiguity,fileid,nps,numbers,sent
Lack of Oxford,test/16126,electrical and electronic products~~~textiles~~~footwear~~~clothing,"['P', 'P', 'S', 'S']","The improved export performance was led by electrical and electronic products, textiles, footwear, clothing, processed food, timber, chemical and rubber products, he told a news conference."
Neither,test/16133,some 340 mln stg~~~exchequer transactions around 300 mln~~~bankers ' balances,"['P', 'P', 'P']","Partly offsetting these outflows, a fall in note circulation will add some 340 mln stg, exchequer transactions around 300 mln and bankers' balances above target about 50 mln."
Oxford,test/16140,the U.S.~~~U.K.~~~Australian economies,"['S', 'S', 'P']","Most of its companies performed well despite a slowdown in the U.S., U.K. And Australian economies in the first half."
Oxford,test/16144,China~~~Egypt~~~Iran~~~Iraq~~~the Soviet Union~~~Japan,"['S', 'S', 'S', 'S', 'S', 'S']","Australia's leading wheat markets include China, Egypt, Iran, Iraq, the Soviet Union and Japan."
Neither,test/16145,"233,448 Norcros ordinary shares~~~0.18 pct~~~180,240 preference shares~~~8.19 pct","['P', 'S', 'P', 'S']","<Williams Holdings Plc> said that it had received acceptances for its offer for Norcros Plc <NCRO.L> from the holders of 233,448 Norcros ordinary shares, or 0.18 pct, and 180,240 preference shares, or 8.19 pct."
Oxford,test/16147,corn~~~rice~~~cottonseed~~~shelled peanuts,"['S', 'S', 'S', 'P']","China has raised the state purchase prices of corn, rice, cottonseed and shelled peanuts from April 1 to encourage farmers to grow them, the official China Commercial Daily said."
Neither,test/16147,11 provinces~~~regions~~~cities,"['P', 'P', 'P']","The paper said the price for round-grained rice from 11 provinces, regions and cities in central, east and northwest China has been increased by 1.75 yuan per 50 kg."
Oxford,test/16155,the Papua New Guinea permit~~~PPL-17~~~the site of the Iagifu oil discovery,"['S', 'S', 'S']","Bond said Merlin has a 6.25 pct working interest plus a 2.5 pct reversionary interest in the Papua New Guinea permit, PPL-17, the site of the Iagifu oil discovery."
Oxford,test/16158,Kiel~~~Hamburg~~~Essen,"['S', 'S', 'S']","The three research groups of Kiel, Hamburg and Essen predicted in the institutes' joint spring report that gross national product (GNP) would rise by two pct in 1987, compared with 2.4 pct in 1986."
Oxford,test/16163,Goldman~~~Sachs~~~Co.,"['S', 'S', 'S']","The board received opinions on the offer from its advisors, First Boston Corp and Goldman, Sachs and Co. James Burke, president of Merrill Lynch Capital Partners, said, ""We are very pleased to have entered into this transaction with Borg-Warner."
Oxford,test/16173,<Sleepeeze Ltd> in the U.K.~~~<Compagnie Continentale Simmons SA> in France~~~<Compagnia Italiana Simmons SpA> in Italy,"['S', 'S', 'S']","The acquisitions include <Sleepeeze Ltd> in the U.K., <Compagnie Continentale Simmons SA> in France and <Compagnia Italiana Simmons SpA> in Italy."
Neither,test/16176,cash~~~common and preferred shares~~~shares in a new subsidiary which would own and operate Dome 's assets,"['S', 'P', 'P']","TransCanada, Canada's largest natural gas pipeline operator, said it is offering Dome a package of cash, common and preferred shares, and shares in a new subsidiary which would own and operate Dome's assets."
Oxford,test/16188,two at 9-13/16 pct~~~15 mln stg in band three at 9-3/4 pct~~~58 mln stg in band three at 9-11/16 pct,"['S', 'S', 'S']","The central bank bought bank bills outright comprising two mln stg in band two at 9-13/16 pct, 15 mln stg in band three at 9-3/4 pct and 58 mln stg in band three at 9-11/16 pct."
Neither,test/16190,"restrictive trade practices~~~protected Japanese trade sectors , such as agriculture~~~non-tariff barriers , such as unreasonable checking and customs procedures for car imports","['P', 'P', 'P']","They cite restrictive trade practices, protected Japanese trade sectors, such as agriculture, and non-tariff barriers, such as unreasonable checking and customs procedures for car imports."
Oxford,test/16200,"the United States~~~Japan~~~West Germany~~~France , Britain , Italy and Canada","['P', 'S', 'S', 'P']","Monetary sources said officials were exasperated that the markets, which drove the dollar rapidly lower and severely disrupted bond and stock markets too, did not take heed of the policy commitments of the Group of Seven -- the United States, Japan, West Germany, France, Britain, Italy and Canada."
Oxford,test/16200,France~~~Britain~~~Italy~~~Canada,"['S', 'S', 'S', 'S']","Monetary sources said officials were exasperated that the markets, which drove the dollar rapidly lower and severely disrupted bond and stock markets too, did not take heed of the policy commitments of the Group of Seven -- the United States, Japan, West Germany, France, Britain, Italy and Canada."
Neither,test/16214,asset sales~~~some excise taxes~~~cuts in middle-class entitlement programs,"['P', 'P', 'P']","Darman called for a ""top level negotiation"" between the White House and Congress on a budget compromise that would include asset sales, some excise taxes, cuts in middle-class entitlement programs, ""a reasonable, steady rate of growth in defense"" and reform of the budget process."
Neither,test/16216,his MTS Acquisition Corp~~~withdrawal rights~~~the proration period,"['S', 'P', 'S']","In a newspaper advertisement, Sosnoff said the bid by his MTS Acquisition Corp, withdrawal rights and the proration period will now expire June 19 unless extended."
Oxford,test/16232,one series B share of Royex~~~one series C share of Royex~~~one share purchase warrant,"['S', 'S', 'S']","For each Corona share it offered four dlrs cash, one series B share of Royex, one series C share of Royex and one share purchase warrant."
Oxford,test/16233,execution of definitive agreements~~~the receipt of fairness opinions from investment banks~~~approval by boards and shareholders of both companies,"['S', 'S', 'P']","The company said the transaction is subject to execution of definitive agreements, the receipt of fairness opinions from investment banks and approval by boards and shareholders of both companies."
Neither,test/16264,our recent product announcements~~~retirement incentives~~~other resource balancing measures,"['P', 'P', 'P']","""We have yet to fully benefit from our recent product announcements, retirement incentives and other resource balancing measures, and we expect these actions will have a more significant impact as 1987 progresses,"" the company added."
Neither,test/16265,grains~~~oilseeds~~~derivatives,"['P', 'P', 'P']","Graan Elevator Mij, GEM, said its balance in port of grains, oilseeds and derivatives rose to 146,000 tonnes on April 11 from 111,000 a week earlier after arrivals of 404,000 tonnes and discharges of 369,000 tonnes last week."
Oxford,test/16268,Kiel~~~Hamburg~~~Essen,"['S', 'S', 'S']","The five institutes issued a joint spring report, in which three -- Kiel, Hamburg and Essen -- forecast a two pct rise in GNP in 1987, while West Berlin and Munich predicted one pct."
Oxford,test/16271,Chicago~~~Denver~~~Toledo,"['S', 'S', 'S']","The officials said hard red spring wheat prices at Chicago, Denver and Toledo were adjusted by about the same amount as at Pacific Northwest, Duluth and Minneapolis."
Oxford,test/16271,Pacific Northwest~~~Duluth~~~Minneapolis,"['S', 'S', 'S']","The officials said hard red spring wheat prices at Chicago, Denver and Toledo were adjusted by about the same amount as at Pacific Northwest, Duluth and Minneapolis."
Neither,test/16278,its second quarter loss~~~rumors of a liquidation at 30 dlrs and 35 dlrs a share~~~Ivan Boesky 's subsequent sale of his position.,"['S', 'P', 'S']","He also said Coopervision's stock fell in 1986 due to its second quarter loss, rumors of a liquidation at 30 dlrs and 35 dlrs a share, and Ivan Boesky's subsequent sale of his position. """
Neither,test/16307,it~~~Reebok~~~the other selling stockholders who will offer about 1.6 mln shares of Reebok common~~~the underwriters,"['S', 'S', 'P', 'P']","Pentland said the amount of the capital gain from the sale depends on the offering price for the Reebok shares to be negotiated between it, Reebok, and the other selling stockholders who will offer about 1.6 mln shares of Reebok common, and the underwriters."
Oxford,test/16307,Kidder~~~Peabody~~~Co Inc,"['S', 'S', 'S']","Pentland said 4,500,000 shares of Rebbok will be offered in the U.S. by a syndicate led by Kidder, Peabody and Co Inc and 1,500,000 shares will be offered outside the U.S. by an international syndicate led by Kidder."
Lack of Oxford,test/16314,45 cts~~~two pct sulphur 20.10 dlrs~~~down 75 cts~~~2.2 pct sulphur 19.75 dlrs~~~down 75 cts and 2.5 pct sulphur 19.50 dlrs~~~down 75 cts,"['S', 'P', 'S', 'P', 'P', 'S']","The decrease brings the prices for one pct sulphur to 20.75 dlrs, down 45 cts, two pct sulphur 20.10 dlrs, down 75 cts, 2.2 pct sulphur 19.75 dlrs, down 75 cts and 2.5 pct sulphur 19.50 dlrs, down 75 cts."
Neither,test/16332,"Garfinckel 's , Dey 's , Donaldson 's , Herpolsheimer 's , Heer 's~~~Miller 's~~~Miller and Rhoads~~~Pomeroy 's~~~Catherine 's~~~Plymouth Shops~~~Jerry Leonard","['S', 'S', 'P', 'S', 'S', 'P', 'S']","Targeted for sale are Bonwit Tellers, Garfinckel's, Dey's, Donaldson's, Herpolsheimer's, Heer's, Miller's, Miller and Rhoads, Pomeroy's, Catherine's, Plymouth Shops, and Jerry Leonard."
Oxford,test/16332,Garfinckel 's~~~Dey 's~~~Donaldson 's~~~Herpolsheimer 's,"['S', 'S', 'S', 'S']","Targeted for sale are Bonwit Tellers, Garfinckel's, Dey's, Donaldson's, Herpolsheimer's, Heer's, Miller's, Miller and Rhoads, Pomeroy's, Catherine's, Plymouth Shops, and Jerry Leonard."
Oxford,test/16343,William Schreyer~~~chairman~~~cheif executive officer,"['S', 'S', 'S']","""We have made steady progress in a period of market activity which has been marked by unprecedented activity,"" William Schreyer, chairman and cheif executive officer, and Daniel Tully, president and chief operating officer, said."
Oxford,test/16343,Daniel Tully~~~president~~~chief operating officer,"['S', 'S', 'S']","""We have made steady progress in a period of market activity which has been marked by unprecedented activity,"" William Schreyer, chairman and cheif executive officer, and Daniel Tully, president and chief operating officer, said."
Neither,test/16354,28 mln dlrs~~~26 mln dlrs~~~35.4 mln dlrs,"['P', 'P', 'P']","Foster reported after tax earnings of 28 mln dlrs, 26 mln dlrs and 35.4 mln dlrs for 1986, 1985, and 1984, respectively."
Oxford,test/16354,1986~~~1985~~~1984,"['S', 'S', 'S']","Foster reported after tax earnings of 28 mln dlrs, 26 mln dlrs and 35.4 mln dlrs for 1986, 1985, and 1984, respectively."
Lack of Oxford,test/16357,cosmetics~~~bicycles~~~apples~~~radios~~~garments~~~soybeans~~~television,"['P', 'P', 'P', 'P', 'P', 'P', 'S']","He said the ministry sent a proposal today to the cabinet that the tariffs on such products as cosmetics, bicycles, apples, radios, garments, soybeans and television sets be cut by between five and 50 pct."
Lack of Oxford,test/16357,major U.S. Machinery and power plant equipment~~~import tariff cuts~~~protection of intellectual property,"['P', 'P', 'S']","Siew said the talks, starting on April 14, would cover U.S. Calls for Taiwan to open its market to American products, purchases of major U.S. Machinery and power plant equipment, import tariff cuts and protection of intellectual property."
Neither,test/16367,consumer~~~capital markets~~~investment banking activities,"['S', 'P', 'P']","It said the rise was mainly due to staff costs associated with continued growth in consumer, capital markets and investment banking activities."
Oxford,test/16367,the reclassification of Brazilian loans~~~a reduced federal income tax rate -LRB- which affected the calculation of the taxabale-equivalent adjustment on tax-exempt assets -RRB-~~~a narrowing of the spread between the prime rate and Chemical 's cost of funds,"['S', 'S', 'P']","This reflected the reclassification of Brazilian loans, a reduced federal income tax rate (which affected the calculation of the taxabale-equivalent adjustment on tax-exempt assets) and a narrowing of the spread between the prime rate and Chemical's cost of funds."
Neither,test/16370,brokerage offices~~~airports~~~other public places,"['P', 'P', 'P']","Trans-Lux is a Connecticut concern that leases teleprinters and display units in brokerage offices, airports and other public places."
Lack of Oxford,test/16427,"VBI Corp , a Turks and Caicos Islands investment firm ,~~~Ingemar Rydin Industritillbehor AB , a Swedish investment firm ,~~~Erik Martin Vik , a Norwegian investor , and Vik 's son , Alexander","['P', 'S', 'P']","The group includes VBI Corp, a Turks and Caicos Islands investment firm, and Ingemar Rydin Industritillbehor AB, a Swedish investment firm, and Erik Martin Vik, a Norwegian investor, and Vik's son, Alexander."
Oxford,test/16427,"Erik Martin Vik~~~a Norwegian investor~~~Vik 's son , Alexander","['S', 'S', 'S']","The group includes VBI Corp, a Turks and Caicos Islands investment firm, and Ingemar Rydin Industritillbehor AB, a Swedish investment firm, and Erik Martin Vik, a Norwegian investor, and Vik's son, Alexander."
Oxford,test/16430,A weak dollar~~~a lower tax rate~~~strong mainframe computer sales,"['S', 'S', 'P']","A weak dollar, a lower tax rate and strong mainframe computer sales all contributed to the better-than-expected first-quarter results, analysts said. """
Neither,test/16434,increased trust income~~~profits from foreign exchange trading~~~investment securities gains,"['S', 'P', 'P']","Also adversely affecting earnings were losses on the trading of securities and higher non-interest expenses, although these were partly offset by increased trust income, profits from foreign exchange trading and investment securities gains, the bank said."
Oxford,test/16459,Pierre Schoenheimer~~~Roger Kirk~~~Leonard Lichter,"['S', 'S', 'S']","It also said it restructured its board to include three members designated by the investors, including Pierre Schoenheimer, Roger Kirk and Leonard Lichter."
Lack of Oxford,test/16496,first-quarter earnings of 12.6 mln dlrs~~~13 cts a share compared to 46.4 mln dlrs~~~47 cts a share,"['P', 'S', 'S']","US Sprint was formed July 1, 1986, as a partnership which combined United Telecommunications' long distance voice and data operations with those of GTE Corp <GTE>. Earlier, United Telecommunications reported first-quarter earnings of 12.6 mln dlrs, or 13 cts a share compared to 46.4 mln dlrs, or 47 cts a share a year ago."
Neither,test/16513,telephones~~~computer terminals~~~appliances,"['P', 'P', 'P']","The rigid plastics are used in such things as telephones, computer terminals, and appliances."
Oxford,test/16523,computer service~~~computer printing~~~lettershop facilities,"['S', 'S', 'P']","The company said Modern Mailers had revenues of 8,600,000 dlrs for the year ended October 31 and provides computer service, computer printing and lettershop facilities."
Oxford,test/16563,brand name hunting~~~fishing~~~outdoor gear,"['S', 'S', 'S']","Gander Mountain sells brand name hunting, fishing and outdoor gear through catalogs."
Lack of Oxford,test/16564,only one U.S. cattle~~~one hog~~~one sheep,"['P', 'S', 'S']","Last December, the EC determined that only one U.S. cattle, one hog and one sheep slaughtering facility could be approved without further review."
Oxford,test/16581,Virginia~~~Maryland~~~Florida~~~the District of Columbia,"['S', 'S', 'S', 'S']","The Exxon Corp subsidiary said the changeover to the 89-octane unleaded fuel will begin late this month and early next in major markets in Virginia, Maryland, Florida, and the District of Columbia."
Oxford,test/16581,New York~~~New Jersey~~~Delaware~~~Connecticut~~~Rhode Island~~~Massachusetts~~~New Hampshire~~~the Philadelphia area,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']","The product was introduced in New York, New Jersey, Delaware, Connecticut, Rhode Island, Massachusetts, New Hampshire and the Philadelphia area late last year."
Lack of Oxford,test/16590,affiliates~~~lower recoverable value of inventories~~~writeoffs of capitalized costs on discontinued projects,"['P', 'S', 'P']","Shr loss 95 cts vs loss nine cts Net loss 6,882,497 vs loss 513,153 Revs 11.3 mln vs 10.0 mln Avg shrs 7,251,000 vs 6,017,000 NOTE: 1986 net includes 1,600,000 dlrs in increased provisions for uncollectible receivables from affiliates, lower recoverable value of inventories and writeoffs of capitalized costs on discontinued projects, 1,700,000 dlr provision for resolution of shareholder class action suit and gain 1,300,000 dlrs from repurchase of manufacturing equipment."
Oxford,test/16607,18~~~perhaps 17.80 dlrs this week~~~next,"['S', 'S', 'S']","The sources warned that ""maybe the (price of a) barrel of oil will fall below 18, perhaps 17.80 dlrs this week or next if there is no control on supplies,"" it said."
Oxford,test/16649,18~~~perhaps 17.80 dlrs this week~~~next,"['S', 'S', 'S']","""The sources warned that maybe the (price of a) barrel of oil will fall below 18, perhaps 17.80 dlrs this week or next if there is no control on supplies. """
Neither,test/16656,pension funds~~~insurance companies~~~other institutional investors,"['P', 'P', 'P']","The investors involved with Merrill include pension funds, insurance companies and other institutional investors, sources said."
Oxford,test/16680,Atlantic Richfield~~~British Petroleum~~~Conoco~~~Amoco,"['S', 'S', 'S', 'S']","Representatives of Atlantic Richfield, British Petroleum, Conoco and Amoco were not immediately available for comment."
Oxford,test/16710,Conoco Hurghada at 45 pct~~~Hispanoil 30 pct~~~Gulf Canada,"['S', 'S', 'S']","After the acquisition, which is subject to Egyptian government approval, working interests in the Hurghada block will be Conoco Hurghada at 45 pct, Hispanoil 30 pct and Gulf Canada the balance."
Neither,test/16711,lower than expected operating margins~~~start-up costs for new product manufacturing~~~higher than planned expenses,"['P', 'P', 'P']","The anticipated loss reflects lower than expected operating margins, start-up costs for new product manufacturing and higher than planned expenses."
Neither,test/16718,"312,500 unregistered shares of its common stock~~~notes worth 1.8 mln dlrs payable over three years~~~about 70,000 dlrs in cash","['P', 'P', 'P']","In payment for the acquisition, Dotronix will issue 312,500 unregistered shares of its common stock, notes worth 1.8 mln dlrs payable over three years, and about 70,000 dlrs in cash."
Neither,test/16740,housing~~~used cars~~~insurance on household contents,"['S', 'P', 'S']","This is because of an unavoidable lag in price information, particularly on housing, used cars and insurance on household contents, it added."
Lack of Oxford,test/16759,"capital goods~~~raw materials~~~equipment , preferably from the U.S. ,","['P', 'P', 'S']","The government would make foreign currency loans worth 2.5 billion dlrs to firms willing to import capital goods, raw materials and equipment, preferably from the U.S.,"
Neither,test/16763,beef~~~citrus products~~~rice,"['S', 'P', 'S']","Lyng said the U.S. Put high priority on talks on 12 farm products named in U.S. Complaints against Japan to the General Agreement on Tariffs and Trade (GATT) last year, as well as on beef, citrus products and rice."
Lack of Oxford,test/16767,export values~~~letters of credit received~~~warehouse stocks~~~M-1 and M-3 money supply figures~~~the composite stock exchange index,"['P', 'P', 'P', 'P', 'S']","The index is based on 10 indicators which include export values, letters of credit received, warehouse stocks, M-1 and M-3 money supply figures and the composite stock exchange index."
Neither,test/16772,cement~~~textiles~~~jute,"['S', 'P', 'S']","It said wholesale prices of cement, textiles and jute fell in 1986/87, compared with the previous year, but milk, cereals (mainly wheat and rice), fruits and vegetables, edible oils, tobacco and fertilisers were costlier in 1986/87."
Lack of Oxford,test/16772,cereals -LRB- mainly wheat and rice -RRB-~~~fruits and vegetables~~~edible oils~~~tobacco~~~fertilisers,"['P', 'P', 'P', 'S', 'P']","It said wholesale prices of cement, textiles and jute fell in 1986/87, compared with the previous year, but milk, cereals (mainly wheat and rice), fruits and vegetables, edible oils, tobacco and fertilisers were costlier in 1986/87."
Neither,test/16775,gifts~~~foreign aid items~~~materials for joint ventures,"['P', 'P', 'P']","He said if imports of gifts, foreign aid items and materials for joint ventures are excluded, the deficit was only 350 mln dlrs, and the surplus on invisibles was 700 mln."
Oxford,test/16783,Canada at 4.0 pct~~~Britain at 3.9 pct~~~France at 3.4 pct~~~the U.S.,"['S', 'S', 'S', 'S']","Among the leading seven industrial countries, consumer price inflation was highest in Italy at 4.2 pct, followed by Canada at 4.0 pct, Britain at 3.9 pct, France at 3.4 pct, the U.S."
Oxford,test/16784,Japanese rice~~~beef~~~citrus markets,"['S', 'S', 'P']","U.S. Agriculture Secretary Richard Lyng opens talks with Japanese government officials today well aware his demand for the opening of Japanese rice, beef and citrus markets is likely to be rejected."
Oxford,test/16788,China~~~South Korea~~~the Philippines,"['S', 'S', 'P']","U.S. Commerce Secretary Malcolm Baldrige leaves on Saturday on a 10-day trip to the Far East to help spur U.S. Trade and improve business relations with China, South Korea and the Philippines, U.S. Officials say."
Lack of Oxford,test/16788,South Korea 7.1 billion dlrs~~~Hong Kong 6.4 billion~~~China 2.1 billion,"['P', 'S', 'S']","The U.S. Last year had major deficits with three of its Asian trading partners -- South Korea 7.1 billion dlrs, Hong Kong 6.4 billion and China 2.1 billion."
Neither,test/16790,beef~~~citrus products~~~rice,"['S', 'P', 'S']","Lyng said the U.S. Put high priority on talks on 12 farm products named in U.S. Complaints against Japan to the General Agreement on Tariffs and Trade (GATT) last year, as well as on beef, citrus products and rice."
Oxford,test/16792,six cts~~~both payable June One~~~record May 15,"['S', 'S', 'S']","Federated Guaranty corp said its board declared a two-for-one stock split and raised the quarterly dividend to 6-1/2 cts per share post-split from six cts, both payable June One, record May 15."
Oxford,test/16826,Kidder~~~Peabody~~~Co,"['S', 'S', 'S']","Bildner also said it plans to offer 25 mln dlrs in Eurodollar convertible subordinated debentures due 2002 through underwriters led by PaineWebber Group Inc <PWJ> and Kidder, Peabody and Co Inc, with proceeds to be used to finance expansion and reduce debt."
Lack of Oxford,test/16871,customs~~~freight~~~insurance,"['P', 'S', 'S']","Reportedly the feeling was the first figure, which includes customs, freight and insurance, allowed a better comparison with other countries that reported their trade balances on the same basis."
Lack of Oxford,test/16874,The firms~~~Boston-based FMR Corp~~~Bermuda-based Fidelity International Ltd,"['P', 'S', 'S']","The firms, Boston-based FMR Corp and Bermuda-based Fidelity International Ltd, said they bought a combined 103,000 Orient Express common shares from March 12 to April 8 at prices ranging from 3.05 to 3.55 dlrs each."
Oxford,test/16875,Charles R. Miller~~~Richard E. Ragsdale~~~Richard L. Scott,"['S', 'S', 'S']","Hospital Corp of America said its management believes the 47 dlr per share acquisition offer it received from Charles R. Miller, Richard E. Ragsdale and Richard L. Scott is not in the best interest of shareholders, and it does not plan to meet with the individuals."
Lack of Oxford,test/16897,the engineering and building ministries~~~the chemical and timber sectors~~~rail transport~~~light industry,"['P', 'P', 'S', 'S']","Plans were not fulfilled by the engineering and building ministries, the chemical and timber sectors, rail transport and light industry, it added."
Lack of Oxford,test/16926,the European Community over corn and sorghum~~~Taiwan over beer and wine~~~South Korea,"['P', 'P', 'S']","In the past year tough trade action had been taken against the European Community over corn and sorghum, Taiwan over beer and wine, South Korea over counterfeiting of copyrights, patents and trademarkets and Japan on tobacco."
Neither,test/16926,copyrights~~~patents~~~trademarkets,"['P', 'P', 'P']","In the past year tough trade action had been taken against the European Community over corn and sorghum, Taiwan over beer and wine, South Korea over counterfeiting of copyrights, patents and trademarkets and Japan on tobacco."
Neither,test/16926,certain computers~~~television sets~~~some hand tools,"['P', 'P', 'P']","Reagan said he imposed the sanctions on certain computers, television sets and some hand tools because Japan did not honor an agreement to end dumping semiconductors in world markets at less than cost and to open its markets to U.S. products."
Oxford,test/16926,Canada~~~West Germany~~~Taiwan~~~South Korea,"['S', 'S', 'S', 'S']","But there are other two-way deficits - with Canada, West Germany, Taiwan and South Korea - and Reagan officials said the president is ready to fight them all."
Neither,test/16932,some small computers~~~colour television sets~~~power tools,"['P', 'P', 'P']","Tamura said there was deep regret over the U.S. Measures, which will impose 100 pct tariffs on about 300 mln dlrs worth of Japanese imports of some small computers, colour television sets and power tools."
Lack of Oxford,test/17036,Discount window borrowings~~~net free reserves~~~the Fed funds rate average~~~the pattern of reserve additions,"['P', 'P', 'S', 'S']","Discount window borrowings, net free reserves, the Fed funds rate average and the pattern of reserve additions are all consistent with a modest tightening,"" said Dana Johnson of First Chicago Corp. Johnson, and several other economists, now estimate that the Fed funds rate should trade between 6-1/4 and 6-3/8 pct. Discount window borrowings in the week to Wednesday were 935 mln dlrs a day, producing a daily average for the two-week statement period of 689 mln dlrs, the highest since the week of December 31, 1986, and up from 393 mln dlrs previously."
Oxford,test/17038,Mexico~~~the Dominican Republic~~~Peru~~~Ecuador~~~India~~~Papua New Guinea~~~five central american nations,"['S', 'S', 'S', 'S', 'S', 'S', 'P']","Mario Fernandez, executive director of the Costa Rican coffee institute, said delegates from Mexico, the Dominican Republic, Peru, Ecuador, India, Papua New Guinea and five central american nations will participate in the two-day strategy session beginning May 4."
Lack of Oxford,test/17443,sugarcane~~~bananas~~~oranges~~~papaya~~~freshwater,"['S', 'P', 'P', 'S', 'S']","Farmers have switched to cash crops such as sugarcane, bananas, oranges, papaya and freshwater fish-farming, in part to supply major consumer markets in Hong Kong and Macao, the magazine said."
Oxford,test/17443,grain~~~10 pct under cash crops~~~10 pct under other crops,"['S', 'S', 'S']","The magazine said China aims to keep 80 pct of national farmland under grain, 10 pct under cash crops and 10 pct under other crops, although the ratio will vary from place to place."
Lack of Oxford,test/17443,primitive cultivation methods~~~labour-intensity~~~low productivity,"['P', 'S', 'S']","It said primitive cultivation methods, labour-intensity and low productivity make grain the least profitable farm commodity."
Oxford,test/17443,"2,250 yuan a year from vegetables~~~375-450 yuan from cotton~~~225 yuan from grain","['S', 'S', 'S']","Farmers in one central region of China can from 0.1 hectare earn 2,250 yuan a year from vegetables, 375-450 yuan from cotton or 225 yuan from grain, it added."
Neither,test/17449,construction equipment~~~photographic film~~~cigarettes~~~pipe tobacco,"['S', 'S', 'P', 'S']","South Korea will cut import taxes on 50 items, including construction equipment, photographic film, cigarettes and pipe tobacco, to help reduce its trade surplus with the United States, the finance ministry said."
Neither,test/17452,foreign trade practices~~~deteriorating U.S. Industrial competitiveness~~~high labour costs~~~government restrictions on mergers,"['P', 'S', 'P', 'P']","Other factors commonly blamed for the deficit, such as foreign trade practices, deteriorating U.S. Industrial competitiveness, high labour costs and government restrictions on mergers, added little to the problem, it said."
Lack of Oxford,test/17452,"shifting currency exchange rates~~~U.S. Economic growth~~~domestic demand for goods and services , which has outpaced foreign consumer demand","['P', 'S', 'P']","It also said it found a ""fairly direct relationship"" between the increased trade deficit and the influence of shifting currency exchange rates, U.S. Economic growth and domestic demand for goods and services, which has outpaced foreign consumer demand."
Neither,test/17452,foreign industries~~~a lack of investment in U.S. Industry~~~declining research and development in U.S. Industry~~~high labour costs~~~union work rules~~~the oil prices rises of the 1970s~~~U.S. Antitrust regulations,"['P', 'S', 'P', 'P', 'P', 'P', 'P']","The study examined seven factors which have been commonly blamed for the trade deficit: foreign government subsidies and trade barriers to protect foreign industries, a lack of investment in U.S. Industry, declining research and development in U.S. Industry, high labour costs, union work rules, the oil prices rises of the 1970s and U.S. Antitrust regulations."
Oxford,test/17477,West Germany~~~the Netherlands~~~Denmark~~~Norway,"['S', 'S', 'S', 'S']","Romero said a group of EC members led by West Germany, the Netherlands, Denmark and Norway were opposed to the tax."
Lack of Oxford,test/17477,income levels~~~production~~~employment,"['P', 'S', 'S']","If the idea of land reform is to increase income levels, production and employment then it won't happen,"" he said."
Oxford,test/17480,cadmium~~~bismuth~~~indium,"['S', 'S', 'S']","The smelter also produced cadmium, bismuth and indium."
Oxford,test/17486,cadmium~~~bismuth~~~indium,"['S', 'S', 'S']","The smelter also produced cadmium, bismuth and indium."
Lack of Oxford,test/17491,"226,243 common shares~~~a 22.2 pct~~~interest","['P', 'S', 'S']","National Security Insurance Co said a group of investors has acquired 226,243 common shares, or a 22.2 pct, interest, for 27.50 dlrs per share."
Oxford,test/17491,Atlantic American Corp <AAME.O>~~~Bankers Fidelity Life Insurance Co~~~Georgia Casualty Insurance Co.,"['S', 'S', 'S']","It said the sellers included Atlantic American Corp <AAME.O>, Bankers Fidelity Life Insurance Co and Georgia Casualty Insurance Co."
Neither,test/17499,"the 1,600 Special Drawing Rights~~~SDRs~~~a tonne level below which the bsm is obliged to buy cocoa off the market. `` Even before he started operations , traders estimated the manager would need to buy at least up to his 75,000 tonnes maximum before prices moved up to or above the 1,600 SDR level , and yet he appears reluctant to do so","['P', 'P', 'P']","Despite this buying, the price of cocoa is well under the 1,600 Special Drawing Rights, SDRs, a tonne level below which the bsm is obliged to buy cocoa off the market. ""Even before he started operations, traders estimated the manager would need to buy at least up to his 75,000 tonnes maximum before prices moved up to or above the 1,600 SDR level, and yet he appears reluctant to do so,"" one manufacturer said."
Neither,test/17502,federal securities laws~~~certain agreements between Ciba-Geigy and Spectra-Physics~~~Ciba-Geigy 's fiduciary duties,"['P', 'P', 'P']","Spectra-Physics said it also filed a lawsuit in Delaware federal court this morning seeking to enjoin the offer and alleging, among other things, that the offer vilates federal securities laws, certain agreements between Ciba-Geigy and Spectra-Physics, and Ciba-Geigy's fiduciary duties."
Oxford,test/17503,The Cereals Intervention Board~~~ONIC~~~Wheat Producers ' Association~~~the National Union of Agricultural and Cereal Cooperatives,"['S', 'S', 'S', 'P']","The Cereals Intervention Board, ONIC, Wheat Producers' Association and the National Union of Agricultural and Cereal Cooperatives have not yet forecast 1987/88 exports or end-of-season stocks."
Oxford,test/17503,Morocco~~~Algeria~~~Tunisia,"['S', 'S', 'S']","He said, however, that among countries to which France could increase its wheat exports were Egypt and the Maghreb countries (Morocco, Algeria and Tunisia), he said."
Oxford,test/17509,bread~~~sugar~~~maize,"['S', 'S', 'S']","However, staple foods, such as bread, sugar and maize meal, were not affected by the cuts and many people said this could provoke trouble from disgruntled elements who had expected more sweeping reductions."
Neither,test/17509,blankets~~~soap~~~detergents~~~baby food,"['P', 'S', 'P', 'S']","Observers in the capital expressed disillusionment with the small extent of the price cuts, which ranged up to 10 pct on items such as blankets, soap, detergents and baby food."
